,Date,Anthony Edwards,Karl-Anthony Towns,D'Angelo Russell,Jaden McDaniels,Patrick Beverley,Jarred Vanderbilt,Malik Beasley,Greg Monroe,Taurean Prince,Naz Reid,Jaylen Nowell,Jordan McLaughlin,Josh Okogie,Nathan Knight,Leandro Bolmaro,Jake Layman,McKinley Wright IV,Chris Silva,Rayjon Tucker
47,2022-01-27,37.33,35.88,19.82,32.98,0.0,30.13,20.05,0.0,16.18,11.07,28.83,0.55,6.58,0.55,0.0,0.0,0.0,0.0,0.0
48,2022-01-28,37.43,30.58,0.0,29.48,0.0,28.73,27.65,0.0,24.22,17.35,14.77,17.18,12.6,0.0,0.0,0.0,0.0,0.0,0.0
49,2022-01-30,35.58,33.7,0.0,26.9,0.0,25.07,23.05,0.0,24.17,14.3,26.08,26.78,0.0,2.18,0.0,2.18,0.0,0.0,0.0
50,2022-02-01,25.62,27.68,0.0,26.3,15.15,18.92,24.15,0.0,24.02,20.32,24.77,26.1,0.0,2.5,0.0,4.48,0.0,0.0,0.0
51,2022-02-03,34.18,36.2,0.0,32.47,28.75,23.57,19.92,0.0,24.1,11.8,13.25,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2022-02-06,34.98,37.73,30.32,24.55,29.9,25.82,21.55,0.0,2.3,10.27,7.03,15.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2022-02-08,25.62,28.43,23.6,20.62,22.77,20.77,19.47,0.0,19.47,16.52,12.0,19.47,3.27,3.05,1.7,3.27,0.0,0.0,0.0
54,2022-02-09,37.9,34.48,36.02,32.58,0.0,34.25,19.58,0.0,12.67,11.78,5.37,13.77,0.0,1.6,0.0,0.0,0.0,0.0,0.0
55,2022-02-11,37.08,37.08,28.87,21.12,29.77,24.98,22.97,0.0,13.17,10.92,0.0,14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2022-02-13,38.58,22.3,35.47,30.17,29.8,23.48,19.63,0.0,0.0,23.32,0.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2022-02-15,17.83,41.68,37.37,37.45,35.58,37.88,13.73,0.0,10.2,11.32,5.75,16.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2022-02-16,31.82,34.0,32.4,30.3,28.88,17.7,18.12,0.0,12.97,14.0,3.98,15.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2022-02-24,31.65,27.87,38.32,15.52,28.4,27.88,18.48,0.0,19.75,20.13,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2022-02-25,37.77,33.62,28.03,23.13,19.1,16.75,0.0,0.0,23.38,14.38,16.27,18.73,4.42,0.0,0.0,4.42,0.0,0.0,0.0
61,2022-02-28,32.37,34.23,34.78,17.83,29.17,27.1,17.48,0.0,20.17,13.77,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2022-03-01,0.0,32.1,29.4,23.13,21.85,24.22,27.53,0.0,20.73,15.9,16.63,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2022-03-04,0.0,25.28,25.42,22.82,23.83,24.12,23.38,0.0,20.35,17.65,13.37,22.65,5.93,5.07,5.07,5.07,0.0,0.0,0.0
64,2022-03-05,0.0,34.4,35.15,37.18,0.0,37.33,21.28,0.0,12.53,13.13,24.45,21.1,3.42,0.0,0.0,0.0,0.0,0.0,0.0
65,2022-03-07,0.0,24.05,0.0,25.57,21.88,18.57,28.45,0.0,17.08,20.75,12.48,19.63,20.25,10.43,8.85,12.0,0.0,0.0,0.0
